Nombre,Tomatometer %,Fresh,Rotten,Popcornmeter %
Tony,95,152,8,91
Point Break,68,56,26,79
Supergirl,53,195,176,73
Train to Busan,95,123,7,89
Spider-Man: Brand New Day,90,378,44,98
The Odyssey,94,467,31,97
Toy Story 5,93,298,24,94
Minions & Monsters,89,160,20,75
One Night Only,46,76,89,76
The Samurai and the Prisoner,98,81,2,79
Project Hail Mary,95,406,23,95
Oppenheimer,93,474,35,91
Mobile Suit Gundam Hathaway,86,6,1,77
Spiderman 2,93,257,19,82
Ghost in the Shell,95,59,3,89
The End of Evangelion,92,11,1,99
Casino Royale,94,251,15,90
Top Gun,57,85,63,83
La La Land,91,427,44,82
Spiderman: Across the Spiderverse,95,378,19,95
The Incredibles,97,241,7,75
The Apprentice,83,208,44,84
Rob Peace,75,40,13,94
The End of Oak Street,85,232,40,77
Magical Mystery Tour,64,9,5,57
Castle in the Sky,96,27,1,91
Backrooms,87,264,39,74
Companion,93,245,19,88
Interstellar,73,272,101,87
Independence Day: Resurgence,29,66,165,30
The Drama,77,229,70,78
A Bug's Life,92,83,7,73
Jurassic Park,91,185,18,91
Spider-Man: No Way Home,93,399,31,97
Leviticus,92,144,12,82
