Nombre,Tomatometer %,Fresh,Rotten,Popcornmeter %
Pelicula sintetica 0001,15,327,257,65
Pelicula sintetica 0002,82,105,114,76
Pelicula sintetica 0003,79,569,215,100
Pelicula sintetica 0004,73,560,251,96
Pelicula sintetica 0005,98,600,225,30
Pelicula sintetica 0006,0,82,56,36
Pelicula sintetica 0007,12,460,5,87
Pelicula sintetica 0008,62,321,107,50
Pelicula sintetica 0009,32,356,182,48
Pelicula sintetica 0010,95,525,39,92
Pelicula sintetica 0011,43,91,285,68
Pelicula sintetica 0012,37,294,234,18
Pelicula sintetica 0013,82,591,158,3
Pelicula sintetica 0014,90,377,186,59
Pelicula sintetica 0015,54,92,204,74
Pelicula sintetica 0016,70,510,59,54
Pelicula sintetica 0017,64,502,203,67
Pelicula sintetica 0018,33,430,288,61
Pelicula sintetica 0019,65,530,12,73
Pelicula sintetica 0020,28,132,25,90
Pelicula sintetica 0021,66,105,219,60
Pelicula sintetica 0022,18,493,117,15
Pelicula sintetica 0023,80,467,240,91
Pelicula sintetica 0024,69,257,286,51
Pelicula sintetica 0025,85,315,280,82
Pelicula sintetica 0026,64,490,205,55
Pelicula sintetica 0027,25,301,137,1
Pelicula sintetica 0028,4,153,234,66
Pelicula sintetica 0029,62,368,102,33
Pelicula sintetica 0030,88,497,238,65
Pelicula sintetica 0031,98,509,222,71
Pelicula sintetica 0032,84,34,148,40
Pelicula sintetica 0033,58,100,224,88
Pelicula sintetica 0034,91,527,132,57
Pelicula sintetica 0035,23,435,245,8
Pelicula sintetica 0036,83,272,255,47
Pelicula sintetica 0037,12,199,210,18
Pelicula sintetica 0038,57,14,47,0
Pelicula sintetica 0039,57,594,279,10
Pelicula sintetica 0040,78,203,126,15
Pelicula sintetica 0041,79,45,279,34
Pelicula sintetica 0042,85,365,79,0
Pelicula sintetica 0043,40,597,294,98
Pelicula sintetica 0044,62,138,279,28
Pelicula sintetica 0045,60,134,258,37
Pelicula sintetica 0046,10,427,81,17
Pelicula sintetica 0047,100,600,156,64
Pelicula sintetica 0048,52,399,76,66
Pelicula sintetica 0049,25,385,7,13
