Posicion,Tomatometer %,Fresh,Rotten,Popcornmeter %
1,The Samurai and the Prisoner,Oppenheimer,Supergirl,The End of Evangelion
2,The Incredibles,The Odyssey,Independence Day: Resurgence,Spider-Man: Brand New Day
3,Castle in the Sky,La La Land,Interstellar,Spider-Man: No Way Home
4,Ghost in the Shell,Project Hail Mary,One Night Only,The Odyssey
5,Project Hail Mary,Spider-Man: No Way Home,The Drama,Project Hail Mary
6,Spiderman: Across the Spiderverse,Spider-Man: Brand New Day,Top Gun,Spiderman: Across the Spiderverse
7,Tony,Spiderman: Across the Spiderverse,La La Land,Rob Peace
8,Train to Busan,Toy Story 5,Spider-Man: Brand New Day,Toy Story 5
9,Casino Royale,Interstellar,The Apprentice,Castle in the Sky
10,The Odyssey,Backrooms,The End of Oak Street,Jurassic Park
11,Companion,Spiderman 2,Backrooms,Oppenheimer
12,Oppenheimer,Casino Royale,Oppenheimer,Tony
13,Spider-Man: No Way Home,Companion,Spider-Man: No Way Home,Casino Royale
14,Spiderman 2,The Incredibles,The Odyssey,Ghost in the Shell
15,Toy Story 5,The End of Oak Street,Point Break,Train to Busan
16,A Bug's Life,The Drama,Toy Story 5,Companion
17,Leviticus,The Apprentice,Project Hail Mary,Interstellar
18,The End of Evangelion,Supergirl,Minions & Monsters,The Apprentice
19,Jurassic Park,Jurassic Park,Companion,Top Gun
20,La La Land,Minions & Monsters,Spiderman 2,La La Land
21,Spider-Man: Brand New Day,Tony,Spiderman: Across the Spiderverse,Leviticus
22,Minions & Monsters,Leviticus,Jurassic Park,Spiderman 2
23,Backrooms,Train to Busan,Casino Royale,Point Break
24,Mobile Suit Gundam Hathaway,Top Gun,Rob Peace,The Samurai and the Prisoner
25,The End of Oak Street,A Bug's Life,Leviticus,The Drama
26,The Apprentice,The Samurai and the Prisoner,Tony,Mobile Suit Gundam Hathaway
27,The Drama,One Night Only,A Bug's Life,The End of Oak Street
28,Rob Peace,Independence Day: Resurgence,The Incredibles,One Night Only
29,Interstellar,Ghost in the Shell,Train to Busan,Minions & Monsters
30,Point Break,Point Break,Magical Mystery Tour,The Incredibles
31,Magical Mystery Tour,Rob Peace,Ghost in the Shell,Backrooms
32,Top Gun,Castle in the Sky,The Samurai and the Prisoner,A Bug's Life
33,Supergirl,The End of Evangelion,Castle in the Sky,Supergirl
34,One Night Only,Magical Mystery Tour,Mobile Suit Gundam Hathaway,Magical Mystery Tour
35,Independence Day: Resurgence,Mobile Suit Gundam Hathaway,The End of Evangelion,Independence Day: Resurgence
